Cod_Producto,Descripcion,Unidad,Precio,Precio_IVA,Paga_Impuesto_IVA,Existencia,Observación,Campo1
101,BREAKER_CAJA_MOLDEADA_CVS100F_REGULABLE_11.2-16A,U,184.17,206.2704,VERDADERO,0,CATALOGO,
102,BREAKER_CAJA_MOLDEADA_CVS100F_REGULABLE_17.5-25A,U,158.57,177.5984,VERDADERO,0,CATALOGO,
103,BREAKER_CAJA_MOLDEADA_CVS100F_REGULABLE_22.4-32A,U,176.99,198.2288,VERDADERO,0,CATALOGO,
104,BREAKER_CAJA_MOLDEADA_CVS100F_REGULABLE_28-40A,U,145.28,162.7136,VERDADERO,0,CATALOGO,
105,BREAKER_CAJA_MOLDEADA_CVS100F_REGULABLE_35-50A,U,158.57,177.5984,VERDADERO,0,CATALOGO,
106,BREAKER_CAJA_MOLDEADA_CVS100F_REGULABLE_44.1-63A,U,153.42,171.8304,VERDADERO,0,CATALOGO,
107,BREAKER_CAJA_MOLDEADA_CVS100F_REGULABLE_56-80A,U,153.53,171.9536,VERDADERO,0,CATALOGO,
108,BREAKER_CAJA_MOLDEADA_CVS100F_REGULABLE_70-100A,U,153.53,171.9536,VERDADERO,0,CATALOGO,
109,BREAKER_CAJA_MOLDEADA_CVS160F_REGULABLE_70-100A,U,194.25,217.56,VERDADERO,0,CATALOGO,
110,BREAKER_CAJA_MOLDEADA_CVS160F_REGULABLE_87.5-125A,U,194.25,217.56,VERDADERO,0,CATALOGO,
111,BREAKER_CAJA_MOLDEADA_CVS160F_REGULABLE_112-160A,U,246.63,276.2256,VERDADERO,0,CATALOGO,
112,BREAKER_CAJA_MOLDEADA_CVS250F_REGULABLE_112-160A,U,316.38,354.3456,VERDADERO,0,CATALOGO,
113,BREAKER_CAJA_MOLDEADA_CVS250F_REGULABLE_140-200A,U,349.48,391.4176,VERDADERO,0,CATALOGO,
114,BREAKER_CAJA_MOLDEADA_CVS250F_REGULABLE_175-250A,U,349.48,391.4176,VERDADERO,0,CATALOGO,
115,BREAKER_RIEL_DIN_EASY9_1_POLO_6A,U,4.64,5.1968,VERDADERO,0,CATALOGO,
116,BREAKER_RIEL_DIN_EASY9_1_POLO_10A,U,4.64,5.1968,VERDADERO,0,CATALOGO,
117,BREAKER_RIEL_DIN_EASY9_1_POLO_16A,U,4.64,5.1968,VERDADERO,0,CATALOGO,
118,BREAKER_RIEL_DIN_EASY9_1_POLO_20A,U,4.64,5.1968,VERDADERO,0,CATALOGO,
119,BREAKER_RIEL_DIN_EASY9_1_POLO_25A,U,4.64,5.1968,VERDADERO,0,CATALOGO,
120,BREAKER_RIEL_DIN_EASY9_1_POLO_32A,U,4.64,5.1968,VERDADERO,0,CATALOGO,
121,BREAKER_RIEL_DIN_EASY9_1_POLO_40A,U,5.06,5.6672,VERDADERO,0,CATALOGO,
122,BREAKER_RIEL_DIN_EASY9_1_POLO_50A,U,5.06,5.6672,VERDADERO,0,CATALOGO,
123,BREAKER_RIEL_DIN_EASY9_1_POLO_63A,U,5.06,5.6672,VERDADERO,0,CATALOGO,
124,BREAKER_RIEL_DIN_EASY9_2_POLOS_6A,U,9.91,11.0992,VERDADERO,0,CATALOGO,
125,BREAKER_RIEL_DIN_EASY9_2_POLOS_10A,U,9.91,11.0992,VERDADERO,0,CATALOGO,
126,BREAKER_RIEL_DIN_EASY9_2_POLOS_16A,U,9.91,11.0992,VERDADERO,0,CATALOGO,
127,BREAKER_RIEL_DIN_EASY9_2_POLOS_20A,U,9.91,11.0992,VERDADERO,0,CATALOGO,
128,BREAKER_RIEL_DIN_EASY9_2_POLOS_25A,U,9.91,11.0992,VERDADERO,0,CATALOGO,
129,BREAKER_RIEL_DIN_EASY9_2_POLOS_32A,U,9.91,11.0992,VERDADERO,0,CATALOGO,
130,BREAKER_RIEL_DIN_EASY9_2_POLOS_40A,U,10.88,12.1856,VERDADERO,0,CATALOGO,
131,BREAKER_RIEL_DIN_EASY9_2_POLOS_50A,U,10.88,12.1856,VERDADERO,0,CATALOGO,
132,BREAKER_RIEL_DIN_EASY9_2_POLOS_63A,U,10.88,12.1856,VERDADERO,0,CATALOGO,
133,BREAKER_RIEL_DIN_EASY9_3_POLOS_6A,U,15.3,17.136,VERDADERO,0,CATALOGO,
134,BREAKER_RIEL_DIN_EASY9_3_POLOS_10A,U,15.3,17.136,VERDADERO,0,CATALOGO,
135,BREAKER_RIEL_DIN_EASY9_3_POLOS_16A,U,15.3,17.136,VERDADERO,0,CATALOGO,
136,BREAKER_RIEL_DIN_EASY9_3_POLOS_20A,U,15.3,17.136,VERDADERO,0,CATALOGO,
137,BREAKER_RIEL_DIN_EASY9_3_POLOS_25A,U,15.3,17.136,VERDADERO,0,CATALOGO,
138,BREAKER_RIEL_DIN_EASY9_3_POLOS_32A,U,15.3,17.136,VERDADERO,0,CATALOGO,
139,BREAKER_RIEL_DIN_EASY9_3_POLOS_40A,U,15.3,17.136,VERDADERO,0,CATALOGO,
140,BREAKER_RIEL_DIN_EASY9_3_POLOS_50A,U,16.7,18.704,VERDADERO,0,CATALOGO,
